Zur's Weirding; FMB1; 2; Foil; 32
Tangled Florahedron; ZNR; 1; ; 211
Tandem Tactics; BBD; 1; ; 112
Tamiyo's Epiphany; WAR; 2; ; 71
Talisman of Hierarchy; MH1; 1; ; 233
Talisman of Creativity; MH1; 1; ; 231
Talisman of Conviction; MH1; 1; ; 230
Talent of the Telepath; ORI; 1; ; 78
Take into Custody; AER; 3; ; 47
Take Heart; GRN; 2; ; 28
Tajuru Stalwart; BFZ; 1; ; 194
Tajuru Snarecaster; ZNR; 3; ; 210
Tajuru Pathwarden; OGW; 1; ; 145
Tajuru Blightblade; ZNR; 5; ; 208
Tajuru Blightblade; ZNR; 4; Foil; 208
Tah-Crop Skirmisher; AKH; 2; ; 72
Tah-Crop Elite; AKH; 1; ; 31
Szat's Will; CMR; 1; Foil; 152
Szadek, Lord of Secrets; GK1; 1; ; 20
Syr Konrad, the Grim; ZNC; 1; ; 56
Syr Faren, the Hengehammer; ELD; 1; ; 177
Syndicate Trafficker; KLD; 1; ; 101
Syndicate Messenger; RNA; 2; ; 25
Syndicate Guildmage; RNA; 3; ; 211
Syndicate Enforcer; GTC; 1; ; 80
Syncopate; DOM; 1; ; 67
Syncopate; GK1; 1; ; 3
Synchronized Strike; AKH; 1; ; 190
Synchronized Spellcraft; ZNR; 3; ; 168
Symmetry Sage; STX; 2; ; 56
Sylvan Shepherd; AFR; 1; ; 206
Sylvan Reclamation; ZNC; 1; ; 104
Sylvan Brushstrider; RNA; 2; ; 144
Sylvan Awakening; DOM; 1; ; 183
Sylvan Advocate; ZNC; 1; ; 84
Sygg, River Cutthroat; ZNC; 1; ; 103
Sworn Guardian; RIX; 2; ; 58
Sworn Companions; GRN; 1; ; 27
Swordwise Centaur; BNG; 1; ; 142
Swords to Plowshares; BBD; 1; ; 110
Swirling Torrent; RNA; 1; ; 56
Swimmer in Nightmares; THB; 3; ; 275
Swiftwater Cliffs; MB1; 1; ; 1689
Swiftblade Vindicator; GRN; 1; ; 203
Swift Warkite; DTK; 1; ; 233
Swift Warden; RIX; 1; ; 146
Swift Response; M21; 2; ; 40
Sweltering Suns; AKH; 1; ; 149
Sweep Away; OGW; 1; ; 64
Sweatworks Brawler; AER; 1; ; 100
Sweatworks Brawler; MB1; 1; ; 1076
Swathcutter Giant; GRN; 1; Foil; 202
Swarming Goblins; AFR; 1; ; 162
Swarm Shambler; ZNR; 1; ; 207
Swarm Guildmage; GRN; 1; ; 201
Swaggering Corsair; RIX; 5; ; 119
Swab Goblin; RIX; 4; ; 203
Svella, Ice Shaper; KHM; 2; ; 230
Sustainer of the Realm; IMA; 1; ; 35
Survivors' Encampment; HOU; 2; ; 184
Survivors' Bond; IKO; 5; ; 172
Survival Cache; IMA; 1; ; 34
Surtland Elementalist; KHM; 2; ; 375
Surreal Memoir; IMA; 1; ; 148
Sure-Footed Infiltrator; ZNR; 3; ; 83
Sure Strike; BFZ; 1; ; 157
Sure Strike; GRN; 1; ; 118
Sure Strike; XLN; 4; ; 166
Supreme Will; CMR; 2; ; 102
Supreme Will; HOU; 1; ; 49
Supply Caravan; AKH; 2; ; 30
Supernatural Stamina; CMR; 1; ; 151
Supernatural Stamina; 2XM; 1; ; 108
Sunrise Seeker; XLN; 1; ; 40
Sunmane Pegasus; THB; 1; ; 38
Sunlance; TSR; 2; ; 47
Sunblast Angel; C20; 1; ; 102
Sunblade Angel; WAR; 2; ; 31
Sun-Crested Pterodon; RIX; 3; ; 27
Sun-Collared Raptor; RIX; 1; ; 118
Sun Titan; ZNC; 1; ; 21
Sun Sentinel; RIX; 3; ; 26
Summoner's Pact; A25; 1; ; 189
Summary Judgment; RNA; 2; ; 24
Sumala Woodshaper; GRN; 3; ; 200
Sultai Banner; KTK; 1; ; 225
Suffocating Fumes; IKO; 2; ; 100
Sudden Spoiling; TSR; 1; ; 144
Sudden Spinnerets; IKO; 2; ; 171
Sudden Insight; AFR; 2; ; 77
Sudden Breakthrough; STX; 3; ; 116
Sudden Breakthrough; STX; 1; Foil; 116
Subtle Strike; ZNR; 2; ; 128
Subtle Strike; ZNR; 1; Foil; 128
Submerged Boneyard; M19; 1; ; 257
Submerged Boneyard; ZNC; 1; ; 141
Stuffy Doll; TSR; 1; ; 274
Study Hall; C21; 1; ; 80
Study Break; STX; 4; ; 34
Student of Ojutai; IMA; 1; ; 33
Struggle for Skemfar; KHM; 3; ; 196
Struggle // Survive; ZNC; 1; ; 102
Structural Distortion; SOI; 2; ; 185
Stronghold Confessor; DOM; 1; ; 105
Stromkirk Mentor; SOI; 1; ; 137
Stromkirk Captain; DKA; 1; ; 143
Strip Bare; SHM; 1; ; 24
String of Disappearances; MH1; 1; ; 72
Strike It Rich; MH2; 1; ; 143
Strider Harness; RIX; 3; ; 183
Strict Proctor; STX; 1; Foil; 33
Strength of the Pack; RIX; 2; ; 145
Strength of Solidarity; ZNR; 5; ; 206
Strength of Solidarity; ZNR; 1; Foil; 206
Strength of Arms; 2XM; 2; ; 33
Strength of Arms; SOI; 1; ; 40
Strength in Numbers; TSR; 2; ; 233
Street Riot; GRN; 1; ; 117
Stream of Thought; MH1; 1; ; 71
Strategic Planning; CMR; 4; ; 101
Strategic Planning; HOU; 1; ; 47
Strategic Planning; HOU; 2; Foil; 47
Strategic Planning; KHM; 2; Foil; 77
Strategic Planning; STA; 2; ; 20
Strategic Planning; STA; 1; Foil; 83
Strategic Planning; STA; 1; Foil; 83e
Story Seeker; KHM; 3; ; 34
Stormcloud Djinn; TSR; 1; ; 90
Storm-Kiln Artist; STX; 2; ; 115
Storm the Vault; RIX; 1; ; 173
Storm the Citadel; WAR; 1; ; 178
Storm Strike; RNA; 1; ; 119
Storm Sculptor; XLN; 2; ; 85
Storm God's Oracle; MH2; 1; ; 213
Storm Fleet Swashbuckler; RIX; 1; ; 117
Storm Fleet Spy; XLN; 1; ; 84
Storm Fleet Sprinter; RIX; 1; ; 172
Storm Fleet Pyromancer; XLN; 3; ; 163
Storm Fleet Arsonist; XLN; 1; ; 162
Storm Entity; TSR; 1; ; 193
Stonework Packbeast; ZNR; 2; ; 255
Stonerise Spirit; STX; 5; ; 32
Stonefury; CMR; 2; ; 203
Stonefury; CMR; 1; Foil; 203
Stoneforge Masterwork; OGW; 1; ; 166
Stonebound Mentor; STX; 3; ; 239
Stonebinder's Familiar; STX; 1; ; 31
Stonebinder's Familiar; STX; 1; Foil; 31
Stone Quarry; M19; 1; ; 256
Stone Golem; M20; 2; ; 240
Stolen Identity; GK1; 1; ; 2
Stoic Builder; SOI; 1; ; 231
Stitched Mangler; SOI; 1; ; 89
Stirring Address; MH1; 2; ; 32
Stir the Sands; AKH; 1; ; 110
Stinkdrinker Bandit; ZNC; 1; ; 55
Stinging Shot; AKH; 1; ; 189
Stingerfling Spider; CMR; 1; ; 258
Stigma Lasher; FMB1; 1; Foil; 59
Steppe Glider; BBD; 1; ; 109
Step Through; MH2; 3; ; 66
Stensia Banquet; EMN; 1; ; 144
Steeple Creeper; RNA; 2; ; 142
Steelgaze Griffin; ELD; 3; ; 65
Steelfin Whale; MH2; 2; ; 65
Steel Leaf Champion; DOM; 1; ; 182
Steel Dromedary; MH2; 1; ; 237
Stealth Mission; WAR; 5; ; 70
Steady Aim; WAR; 2; ; 177
Steadfast Sentinel; HOU; 1; ; 24
Steadfast Paladin; AFR; 2; ; 38
Stave Off; MB1; 1; ; 246
Staunch Throneguard; CMR; 1; ; 344
Staunch Shieldmate; M21; 2; ; 39
Startling Development; IKO; 4; ; 68
Start from Scratch; STX; 2; ; 114
Starnheim Unleashed; KHM; 1; ; 294
Starnheim Courser; KHM; 5; ; 32
Starnheim Courser; KHM; 1; Foil; 32
Starlit Mantle; THB; 1; ; 67
Starfall; JOU; 1; ; 114
Star Pupil; STX; 1; ; 30
Stampeding Horncrest; RIX; 1; ; 116
Stalwart Valkyrie; KHM; 4; ; 31
Stallion of Ashmouth; MB1; 1; ; 781
Stalking Drone; OGW; 1; ; 124
Staggering Insight; THB; 2; ; 228
Staff of Domination; CMR; 1; ; 701
Stab Wound; MB1; 1; ; 780
Sram's Expertise; AER; 1; ; 24
Squirrel Sovereign; MH2; 1; ; 175
Squirrel Sanctuary; MH2; 1; ; 174
Squire's Devotion; RIX; 3; ; 25
Squash; KHM; 2; ; 152
Square Up; STX; 4; ; 238
Squad Commander; ZNR; 1; Foil; 323
Squad Captain; CMR; 3; ; 51
Squad Captain; CMR; 1; Foil; 51
Spurnmage Advocate; JUD; 1; ; 27
Sprite Dragon; IKO; 2; ; 211
Springmantle Cleric; ZNR; 2; ; 205
Springmane Cervin; STX; 2; ; 144
Springjaw Trap; IKO; 4; ; 241
Springjaw Trap; IKO; 1; Foil; 241
Springbloom Druid; MH1; 1; ; 181
Springbloom Druid; ZNC; 1; ; 83
Spring // Mind; AKH; 2; ; 219
Spreading Rot; XLN; 2; ; 125
Spreading Insurrection; MH2; 1; ; 142
Sporoloth Ancient; TSR; 1; ; 232
Sporesower Thallid; TSR; 1; ; 231
Sporemound; ZNC; 2; ; 82
Sporecap Spider; ELD; 1; ; 176
Spore Frog; MH1; 1; ; 180
Spontaneous Mutation; CMR; 2; ; 100
Spontaneous Flight; IKO; 2; ; 33
Spoils of the Hunt; AFR; 2; ; 205
Spoils of Adventure; ZNR; 1; ; 237
Split the Party; AFR; 2; ; 76
Splendor Mare; IKO; 1; ; 32
Splendid Agony; AKH; 1; ; 109
Spitting Image; C16; 1; ; 236
Spitting Image; C21; 1; ; 229
Spitfire Lagac; ZNR; 2; ; 167
Spitfire Lagac; ZNR; 1; ; 302
Spitfire Lagac; ZNR; 1; Foil; 167
Spitfire Lagac; ZNR; 2; Foil; 302
Spirit Summoning; STX; 2; ; 236
Spirit Summoning; STX; 1; Foil; 236
Spirit of the Aldergard; KHM; 2; ; 195
Spirit Cairn; JUD; 1; ; 26
Spireside Infiltrator; KLD; 1; ; 133
Spire Winder; RIX; 3; ; 57
Spire Patrol; AER; 1; ; 136
Spire Mangler; RNA; 1; ; 86
Spiraling Embers; SOK; 1; ; 116
Spinneret Sliver; TSR; 1; ; 230
Spinehorn Minotaur; MH1; 1; ; 147
Spined Megalodon; M21; 1; ; 72
Spined Karok; STX; 1; ; 143
Spinal Embrace; ZNC; 1; ; 101
Spinal Centipede; GRN; 1; ; 86
Spiketail Drakeling; TSR; 2; ; 89
Spikefield Hazard; ZNR; 2; ; 166
Spikefield Hazard; ZNR; 1; Foil; 166
Spike Jester; DGM; 1; ; 106
Spidersilk Net; DTK; 1; ; 244
Sphinx's Tutelage; ORI; 1; ; 76
Sphinx of Uthuun; M13; 1; ; 69
Sphinx of the Second Sun; CMR; 1; ; 99
Sphinx of the Guildpact; 2XM; 1; Foil; 290
Spellweaver Eternal; HOU; 4; ; 46
Spellweaver Duo; BBD; 4; ; 42
Spellkeeper Weird; WAR; 1; ; 69
Spellgorger Weird; WAR; 4; ; 145
Spelleater Wolverine; IKO; 2; ; 137
Spell Satchel; STX; 3; ; 258
Spell Pierce; XLN; 2; ; 81
Spectral Steel; KHM; 2; ; 30
Spectral Sailor; M20; 1; ; 76
Specter of the Fens; STX; 2; ; 87
Spectacle Mage; STX; 3; ; 235
Specimen Collector; MH2; 1; ; 64
Specimen Collector; MH2; 1; Foil; 64
Spawning Kraken; C21; 1; ; 33
Sparring Mummy; AKH; 3; ; 29
Sparring Construct; DOM; 3; ; 232
Sparktongue Dragon; CMR; 1; ; 202
Sparktongue Dragon; M19; 1; ; 159
Sparkmage's Gambit; OGW; 1; ; 117
Spark Reaper; WAR; 5; ; 106
Spark of Creativity; KLD; 1; ; 131
Spark Harvest; CMR; 1; ; 150
Spark Harvest; WAR; 3; ; 105
Spare Supplies; ZNR; 2; ; 254
Spare Dagger; AFR; 1; ; 250
Sovereign's Bite; M19; 1; ; 120
Soulstinger; AKH; 1; ; 108
Soulmender; M20; 2; ; 37
Soulblade Renewer; BBD; 1; ; 18
Soulblade Corrupter; BBD; 1; ; 17
Soul-Strike Technique; MH1; 1; ; 30
Soul-Guide Lantern; THB; 1; ; 237
Soul's Might; CMR; 1; ; 257
Soul's Might; CMR; 1; Foil; 257
Soul's Fire; CMR; 1; ; 200
Soul Tithe; RTR; 1; ; 23
Soul Shatter; ZNR; 1; ; 127
Soul Sear; M21; 1; ; 160
Soul Salvage; M20; 1; ; 116
Soul Salvage; DOM; 3; ; 104
Soul of the Rapids; RIX; 2; ; 56
Soul of Migration; MH2; 1; ; 33
Soul of Migration; MH2; 1; Foil; 33
Soul Manipulation; MB1; 1; ; 1488
Soul Manipulation; ZNC; 1; ; 100
Soul Diviner; WAR; 1; ; 218
Sorin, Vengeful Bloodlord; WAR; 1; ; 217
Sorin's Thirst; WAR; 5; ; 104
Sorcerous Spyglass; XLN; 1; ; 248
Sorcerer's Wand; DOM; 2; ; 231
Sorcerer's Broom; MB1; 1; ; 1634
Sorcerer of the Fang; M20; 1; ; 114
Soothsayer Adept; STX; 6; ; 55
Sonic Assault; GRN; 3; ; 199
Song-Mad Treachery; ZNR; 1; ; 165
Song-Mad Treachery; ZNR; 1; Foil; 165
Solve the Equation; STX; 2; ; 54
Solitary Hunter; SOI; 1; ; 229
Solitary Camel; HOU; 3; ; 23
Solid Footing; IKO; 1; ; 31
Solemn Recruit; AER; 1; ; 22
Solar Blaze; WAR; 1; ; 216
Sol Talisman; MH2; 1; ; 236
Sol Ring; C19; 2; ; 221
Sol Ring; C21; 1; ; 263
Sol Ring; CMR; 1; ; 700
Sol Ring; ZNC; 2; ; 120
Sojourner's Companion; MH2; 1; ; 235
Soaring Thought-Thief; ZNR; 2; ; 236
Soaring Show-Off; BBD; 2; ; 40
So Tiny; ELD; 2; ; 64
So Shiny; MH2; 1; ; 63
Snubhorn Sentry; RIX; 4; ; 23
Snowfield Sinkhole; KHM; 2; ; 269
Snow Day; STX; 4; ; 53
Sneaking Guide; ZNR; 2; ; 164
Snarespinner; WAR; 3; ; 176
Snare Tactician; IKO; 5; ; 30
Snapping Drake; M19; 1; ; 75
Snapping Drake; MB1; 1; ; 499
Snakeskin Veil; KHM; 2; ; 194
Snakeskin Veil; STA; 1; ; 57
Snakeskin Veil; STA; 1; Foil; 120
Smothering Tithe; RNA; 1; ; 22
Smothering Abomination; BFZ; 1; ; 99
Smoldering Spires; E01; 1; ; 96
Smite the Monstrous; BFZ; 1; ; 49
Smite the Monstrous; ZNR; 3; ; 42
Smelt-Ward Minotaur; GRN; 1; ; 116
Smelt-Ward Ignus; RNA; 1; ; 116
Smell Fear; MH2; 1; ; 173
Smashing Success; KHM; 4; ; 151
Smash to Smithereens; ORI; 1; ; 163
Smallpox; TSR; 1; ; 139
Slurrk, All-Ingesting; CMR; 1; ; 256
Slurrk, All-Ingesting; CMR; 1; Foil; 584
Sludge Crawler; BFZ; 1; ; 98
Slither Blade; AKH; 3; ; 71
Slither Blade; ZNC; 1; ; 36
Slipstream Serpent; TSR; 4; ; 86
Slippery Scoundrel; RIX; 1; ; 55
Slimefoot, the Stowaway; DOM; 1; ; 205
Slimebind; RNA; 4; ; 54
Slice in Twain; XLN; 2; ; 207
Sleeper Dart; IKO; 3; ; 240
Sleep Paralysis; M20; 2; ; 75
Sleep of the Dead; THB; 4; ; 66
Slaying Fire; ELD; 2; ; 143
Slaughterhorn; GTC; 1; ; 134
Slaughter Pact; TSR; 1; ; 138
Slaughter Drone; OGW; 1; ; 79
Slagwoods Bridge; MH2; 2; ; 256
Skywhaler's Shot; CMR; 1; ; 46
Skyway Sniper; M21; 1; ; 206
Skystreamer; BBD; 1; ; 31
Skyshroud Claim; BBD; 2; ; 213
Skyship Plunderer; AER; 1; ; 46
Skyscanner; MB1; 1; ; 1631
Skyraker Giant; CMR; 1; Foil; 199
Skymarcher Aspirant; RIX; 1; ; 21
Skymarch Bloodletter; M19; 1; ; 119
Skymarch Bloodletter; XLN; 3; ; 124
Skyline Scout; GRN; 2; ; 25
Skyline Cascade; BFZ; 1; ; 246
Skyknight Vanguard; M20; 5; ; 218
Skyknight Legionnaire; GRN; 1; ; 198
Skyclave Squid; ZNR; 1; ; 296
Skyclave Squid; ZNR; 2; ; 82
Skyclave Squid; ZNR; 1; Foil; 82
Skyclave Shadowcat; ZNR; 5; ; 126
Skyclave Shade; ZNR; 1; ; 125
Skyclave Shade; ZNR; 1; ; 298
Skyclave Sentinel; ZNR; 3; ; 253
Skyclave Plunder; ZNR; 1; ; 81
Skyclave Pick-Axe; ZNR; 2; ; 204
Skyclave Pick-Axe; ZNR; 1; ; 309
Skyclave Pick-Axe; ZNR; 1; Foil; 204
Skyclave Geopede; ZNR; 1; ; 163
Skyclave Geopede; ZNR; 2; ; 301
Skyclave Apparition; ZNR; 2; ; 39
Skyblade's Boon; MH2; 2; ; 31
Skyblade of the Legion; XLN; 3; ; 37
Sky Theater Strix; WAR; 1; ; 67
Sky Tether; RNA; 1; ; 21
Sky Terror; XLN; 1; ; 229
Sky Skiff; KLD; 1; ; 233
Sky Diamond; CMR; 2; ; 341
Skullcrack; GTC; 1; ; 106
Skull Rend; RTR; 1; ; 195
Skull Prophet; IKO; 2; ; 206
Skull Collector; SOK; 1; ; 90
Skophos Reaver; MH2; 3; ; 140
Skola Grovedancer; THB; 1; ; 202
Skittering Surveyor; DOM; 3; ; 230
Skittering Heartstopper; XLN; 4; ; 122
Skitter Eel; RNA; 2; ; 53
Skirk Prospector; DOM; 2; ; 144
Skirk Commando; A25; 1; ; 150
Skirge Familiar; MH2; 1; ; 276
Skinbrand Goblin; 2XM; 1; ; 144
Skin Invasion; SOI; 1; ; 182
Skilled Animator; CMR; 2; ; 98
Skewer the Critics; RNA; 3; ; 115
Skemfar Elderhall; KHM; 1; ; 268
Skemfar Avenger; KHM; 1; ; 109
Skatewing Spy; RNA; 1; ; 52
Skarrgan Hellkite; RNA; 1; ; 114
Skaab Goliath; ORI; 1; ; 74
Sizzling Barrage; ZNR; 1; ; 162
Sixth Sense; AKH; 1; ; 187
Sisay's Ring; CMR; 1; Foil; 340
Sinuous Striker; HOU; 1; ; 45
Sinister Starfish; MH2; 2; ; 99
Sinister Sabotage; GRN; 1; ; 54
Sinister Possession; DGM; 1; ; 29
Sinew Sliver; TSR; 2; ; 44
Sin Collector; DGM; 1; ; 103
Simic Signet; C21; 1; ; 262
Simic Locket; RNA; 3; ; 240
Simic Locket; RNA; 1; Foil; 240
Simic Guildgate; RNA; 1; ; 258
Simic Growth Chamber; C21; 1; ; 317
Simic Growth Chamber; GK2; 4; ; 131
Simic Cluestone; DGM; 1; ; 145
Simic Charm; GTC; 1; ; 195
Silverstrike; SOI; 1; ; 37
Silversmote Ghoul; M21; 1; ; 122
Silverquill Silencer; STX; 1; ; 234
Silverquill Pledgemage; STX; 1; ; 233
Silverquill Campus; STX; 1; ; 273
Silverquill Campus; STX; 1; Foil; 273
Silverquill Apprentice; STX; 1; ; 231
Silvergill Adept; RIX; 1; ; 53
Silverflame Squire // On Alert; ELD; 1; ; 31
Silverflame Ritual; ELD; 1; ; 30
Silverclad Ferocidons; RIX; 2; ; 115
Silverbluff Bridge; MH2; 1; ; 255
Silverback Shaman; CMR; 1; ; 255
Silverback Shaman; M20; 1; ; 195
Silver Raven; AFR; 2; ; 74
Silundi Vision; ZNR; 6; ; 80
Silumgar's Command; ZNC; 1; ; 99
Silkweaver Elite; AER; 2; ; 125
Silhana Wayfinder; RNA; 1; ; 141
Silent Observer; SOI; 1; ; 86
Silent Dart; M21; 1; ; 237
Silent Dart; GRN; 1; ; 241
Silent Dart; GRN; 1; Foil; 241
Silburlind Snapper; SOI; 1; ; 85
Sigrid, God-Favored; KHM; 2; ; 301
Signpost Scarecrow; ELD; 2; ; 231
Sigiled Sword of Valeron; M19; 1; ; 244
Sigiled Skink; JOU; 1; ; 111
Sigil of Valor; ORI; 2; ; 239
Sigil of the Empty Throne; C15; 1; ; 80
Sifter Wurm; CMR; 2; ; 254
Sifter Wurm; HOU; 1; ; 135
Sift; 2XM; 3; ; 69
Siege-Gang Commander; DOM; 1; ; 143
Siege Wurm; GRN; 1; ; 144
Siege Striker; M21; 1; ; 37
Siege Modification; AER; 1; ; 99
Sidewinder Sliver; TSR; 1; ; 43
Sidewinder Naga; HOU; 1; ; 134
Sickleslicer; 2XM; 1; ; 287
Shriekdiver; WAR; 7; ; 103
Shredded Sails; IKO; 5; ; 136
Showdown of the Skalds; KHM; 3; ; 229
Shoulder to Shoulder; OGW; 1; ; 34
Shortcut Seeker; AFR; 2; ; 73
Short Sword; DOM; 2; ; 229
Shocking Grasp; AFR; 4; ; 72
Shocking Grasp; AFR; 1; Foil; 72
Shock; AER; 1; ; 98
Shivan Meteor; TSR; 1; ; 188
Shivan Fire; DOM; 1; ; 142
Shipwreck Moray; AER; 1; ; 45
Shipwreck Looter; XLN; 2; ; 76
Shipwreck Dowser; M21; 2; ; 71
Shiny Impetus; C20; 2; ; 55
Shining Aerosaur; XLN; 1; ; 36
Shineshadow Snarl; STX; 2; ; 272
Shinen of Flight's Wings; SOK; 1; ; 57
Shinen of Fear's Chill; SOK; 1; ; 88
Shimmering Grotto; IMA; 1; Foil; 248
Shimmerdrift Vale; KHM; 3; ; 267
Shimmer of Possibility; RNA; 3; ; 51
Shielded Passage; GTC; 1; ; 24
Shielded Aether Thief; AER; 1; ; 44
Shielded Aether Thief; AER; 1; Foil; 44
Shield Mare; M19; 1; ; 37
Shepherd of the Flock // Usher to Safety; ELD; 1; ; 278
Shepherd of the Cosmos; KHM; 2; ; 28
Shepherd of Heroes; ZNR; 5; ; 38
Shepherd of Heroes; ZNR; 2; Foil; 38
Sheltering Light; XLN; 1; ; 35
Sheltered Thicket; AKH; 1; ; 248
Shelter; MH1; 1; ; 28
Shell Shield; ZNR; 3; ; 79
Shatterskull Recruit; BFZ; 1; ; 155
Shatterskull Minotaur; ZNR; 1; ; 160
Shatterskull Charger; ZNR; 2; ; 353
Shatterskull Charger; ZNR; 1; Foil; 159
Shattering Blow; GTC; 2; ; 225
Shattered Ego; MH2; 2; ; 62
Shatter Assumptions; MH1; 1; ; 106
Shatter; RIX; 2; ; 114
Shark Typhoon; IKO; 2; ; 67
Shapers of Nature; XLN; 3; ; 228
Shaper Apprentice; XLN; 4; ; 75
Shanna, Sisay's Legacy; DOM; 1; ; 204
Shambling Ghoul; BBD; 1; ; 159
Shambling Ghast; AFR; 2; ; 119
Shambleshark; GTC; 1; ; 193
Shamble Back; SOI; 2; ; 134
Shamanic Revelation; C21; 1; ; 206
Shake the Foundations; RIX; 1; ; 113
Shaile, Dean of Radiance; STX; 4; ; 158
Shadowstorm Vizier; AKH; 2; ; 206
Shadowspear; THB; 1; ; 236
Shadowmage Infiltrator; A25; 1; ; 217
Shadow Stinger; ZNR; 3; ; 123
Shadow Slice; GTC; 1; ; 77
Shadow Alley Denizen; GTC; 1; ; 76
Shade of Trokair; TSR; 1; ; 42
Shackles of Treachery; KHM; 2; ; 150
Severed Strands; GRN; 3; ; 85
Seven Dwarves; ELD; 1; ; 141
Settle the Score; DOM; 1; ; 103
Setessan Training; THB; 1; ; 201
Setessan Petitioner; THB; 1; ; 199
Setessan Griffin; THS; 1; ; 30
Servo Schematic; AER; 2; ; 176
Serrated Scorpion; IKO; 2; ; 99
Serrated Arrows; MB1; 1; ; 1626
Serra Angel; DOM; 1; ; 33
Serra Angel; M13; 1; ; 31
Serpentine Curve; STX; 8; ; 52
Sergeant-at-Arms; DOM; 1; ; 32
Seraph of the Suns; AKH; 1; ; 28
Sequestered Stash; KLD; 1; ; 248
Sequence Engine; C21; 1; ; 67
Sepulchral Primordial; ZNC; 1; ; 54
Sephara, Sky's Blade; M20; 1; ; 36
Sentinel Tower; BBD; 1; ; 79
Sentinel Totem; XLN; 1; ; 245
Sentinel Spider; CMR; 1; ; 253
Sentinel of the Pearl Trident; DOM; 2; ; 65
Senseless Rage; SOI; 2; ; 180
Sengir Vampire; MB1; 1; ; 766
Send to Sleep; MB1; 2; ; 483
Senate Griffin; RNA; 1; ; 219
Senate Courier; RNA; 1; ; 50
Semester's End; STX; 1; ; 27
Semester's End; STX; 1; Foil; 27
Selesnya Sanctuary; GK1; 4; ; 125
Selesnya Sanctuary; ZNC; 1; ; 140
Selesnya Locket; GRN; 2; ; 240
Selesnya Guildgate; GRN; 2; ; 255
Selesnya Guildgate; GRN; 1; ; 256
Selesnya Guildgate; ZNC; 1; ; 139
Select for Inspection; KLD; 1; ; 63
Sejiri Shelter; ZNR; 1; Foil; 37
Seize the Spoils; KHM; 4; ; 149
Seismic Shift; DOM; 1; ; 141
Segovian Angel; MH1; 1; ; 25
Seer's Sundial; ZNC; 1; ; 119
Seer's Lantern; CMR; 1; ; 338
Seer's Lantern; CMR; 1; Foil; 338
Seer of the Last Tomorrow; HOU; 1; ; 44
Seed Guardian; OGW; 1; ; 143
See Red; RIX; 2; ; 112
Sedgemoor Witch; STX; 1; ; 86
Secure the Scene; M21; 1; ; 35
Secrets of the Golden City; RIX; 3; ; 52
Secret Salvage; AER; 1; ; 71
Secret Rendezvous; STX; 3; ; 26
Secret Door; AFR; 1; ; 71
Seasons Past; SOI; 1; ; 226
Season of Growth; M20; 1; ; 191
Seaside Citadel; MM3; 1; ; 245
Search the Premises; MH2; 1; ; 29
Search for Tomorrow; TSR; 1; ; 229
Search for Glory; KHM; 1; Foil; 340
Seal of Strength; MB1; 1; ; 1326
Seal of Removal; MH2; 2; ; 269
Seal of Primordium; TSR; 1; ; 228
Seal Away; DOM; 3; ; 31
Seagraf Skaab; SOI; 1; ; 84
Seafloor Stalker; ZNR; 5; ; 78
Sea-Dasher Octopus; IKO; 1; ; 286
Sea-Dasher Octopus; IKO; 1; ; 66
Sea-Dasher Octopus; IKO; 1; Foil; 286
Sea Legs; RIX; 2; ; 50
Sea Gate Wreckage; OGW; 1; ; 177
Sea Gate Restoration; ZNR; 1; ; 76
Sea Gate Colossus; ZNR; 2; ; 251
Sea Gate Banneret; ZNR; 4; ; 36
Sea Drake; MH2; 3; ; 268
Scytheclaw; ZNC; 1; ; 118
Scuttling Sliver; MH1; 1; ; 68
Scuttletide; MH2; 1; ; 61
Scuttlemutt; M20; 1; ; 238
Scuttlegator; RNA; 2; ; 218
Scute Swarm; ZNR; 1; ; 203
Scute Swarm; ZNR; 1; Foil; 308
Scurry Oak; MH2; 1; ; 172
Scurrid Colony; STX; 2; ; 142
Sculptor of Winter; KHM; 5; ; 193
Scrounger of Souls; HOU; 2; ; 76
Screeching Skaab; ORI; 1; ; 70
Screeching Buzzard; BBD; 1; ; 158
Scrapyard Recombiner; MH1; 1; ; 227
Scrabbling Claws; RNA; 1; ; 238
Scouring Sands; BNG; 1; ; 110
Scourge of the Skyclaves; ZNR; 1; ; 122
Scourge of the Nobilis; EVE; 1; ; 146
Scoured Barrens; M20; 2; ; 251
Scoured Barrens; IKO; 1; ; 254
Scoured Barrens; KTK; 1; ; 242
Scour All Possibilities; MH1; 1; Foil; 67
Scorchmark; RNA; 1; ; 113
Scorching Dragonfire; M21; 1; ; 158
Scorch Spitter; M20; 4; ; 159
Scorch Rider; ZNR; 2; ; 158
Scorch Rider; ZNR; 1; Foil; 158
Scion Summoner; OGW; 1; ; 123
Scion of the Swarm; ZNR; 2; ; 121
Scion of Stygia; AFR; 1; ; 70
Scholar of the Ages; CMR; 4; ; 93
Scholar of Stars; CMR; 4; ; 92
Scheming Symmetry; M20; 1; ; 113
Scavenging Harpy; THB; 1; ; 114
Scavenged Blade; ZNR; 3; ; 157
Scavenged Blade; ZNR; 1; Foil; 157
Scaretiller; ZNC; 1; ; 117
Scarab Feast; AKH; 1; ; 106
Scaled Herbalist; AFR; 1; ; 204
Scaled Behemoth; CMR; 1; ; 251
Scale the Heights; ZNR; 3; ; 202
